title,price,location,ambientes,banos,metros_cuadrados,link
Alquiler Comercial,250000.0,"LNA, Alberto Olmedo, Rosario, Santa Fe",1,1,27.0,https://departamento.mercadolibre.com.ar/MLA-1454103215-alquiler-comercial-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler Monoambiente,240000.0,"Santiago 1100, Centro, Rosario, Santa Fe",1,1,25.0,https://departamento.mercadolibre.com.ar/MLA-1455342627-alquiler-monoambiente-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler Departamento 2 Dormitorios Centro,300000.0,"Maipú 1416, Centro, Rosario, Santa Fe",3,1,58.0,https://departamento.mercadolibre.com.ar/MLA-1456280637-alquiler-departamento-2-dormitorios-centro-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler Departamento Monoambiente Con Balcon En Rosario - Echesortu,180000.0,"Cafferata Al 1000, Rosario, Santa Fe",1,1,40.0,https://departamento.mercadolibre.com.ar/MLA-1935143896-alquiler-departamento-monoambiente-con-balcon-en-rosario-echesortu-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento Nuevo En Rosario! Zona Inmejorable,45000.0,"Mitre SN, Centro, Rosario, Santa Fe",2,1,50.0,https://departamento.mercadolibre.com.ar/MLA-1923203384-departamento-nuevo-en-rosario-zona-inmejorable-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler ! Departamento Monoambiente Amoblado,240000.0,"Maipú 700, Centro, Rosario, Santa Fe",1,1,30.0,https://departamento.mercadolibre.com.ar/MLA-1923190752-alquiler-departamento-monoambiente-amoblado-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler Departamento Monoambiente En Rosario - Echesortu,175000.0,"Iriondo Al 500, Centro, Rosario, Santa Fe",1,1,30.0,https://departamento.mercadolibre.com.ar/MLA-1935306476-alquiler-departamento-monoambiente-en-rosario-echesortu-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Hermoso Departamento En Alquiler De 1 Dormitorio Al Frente Orientación Norte - Luminoso - Zeballos 3500,210000.0,"Zeballos 3531, S2002PSH Rosario, Santa Fe, Argentina, Echesortu, Rosario, Santa Fe",2,1,46.0,https://departamento.mercadolibre.com.ar/MLA-1934673878-hermoso-departamento-en-alquiler-de-1-dormitorio-al-frente-orientacion-norte-luminoso-zeballos-3500-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
"Departamento 1 Dormitorio, 9 De Julio 813",190000.0,"9 De Julio 813, Rosario, Provincia De Santa Fe, Argentina, Centro, Rosario, Santa Fe",3,1,56.0,https://departamento.mercadolibre.com.ar/MLA-1904961642-departamento-1-dormitorio-9-de-julio-813-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
"Alquilo Dto. 1 Dormitorio, Rodriguez 1141 01-02",160000.0,"Martín Rodríguez 1141, Rosario, Provincia De Santa Fe, Argentina, Centro, Rosario, Santa Fe",2,1,40.0,https://departamento.mercadolibre.com.ar/MLA-1938478046-alquilo-dto-1-dormitorio-rodriguez-1141-01-02-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler- Monoambiente - España Y Hospitales,140000.0,"Dean Funes 1000 - Piso 1º Dpto C, Rosario, Santa Fe",1,1,33.0,https://departamento.mercadolibre.com.ar/MLA-1457476701-alquiler-monoambiente-espana-y-hospitales-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Departamento Premium En Rosario Alquiler Con Vista Franca Al Rio 2 Dormitorios 2 Cocheras,1800.0,"Avellaneda 1300 Bis, Centro, Rosario, Santa Fe",5,3,153.0,https://departamento.mercadolibre.com.ar/MLA-1945846528-departamento-premium-en-rosario-alquiler-con-vista-franca-al-rio-2-dormitorios-2-cocheras-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
"Alquiler Temporario 1 Dormitorio 6a - San Lorenzo 2706, Rosario",400000.0,"SAN LORENZO 2706, Alberto Olmedo, Rosario, Santa Fe",3,1,42.0,https://departamento.mercadolibre.com.ar/MLA-1941244114-alquiler-temporario-1-dormitorio-6a-san-lorenzo-2706-rosario-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Monoambiente Amueblado Alquiler Temporario O Mensual,400000.0,"Mendoza Al 4600, Rosario, Santa Fe",1,1,30.0,https://departamento.mercadolibre.com.ar/MLA-1457362021-monoambiente-amueblado-alquiler-temporario-o-mensual-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler - Departamento 1 Dormitorio -republica De La Sexta,260000.0,"Necochea 1800 - Piso 9º Dpto B, República De La Sexta, Rosario, Santa Fe",2,1,36.0,https://departamento.mercadolibre.com.ar/MLA-1456645241-alquiler-departamento-1-dormitorio-republica-de-la-sexta-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
3 De Febrero Al 1800 Alquiler Departamento 2 Dormitorios En Rosario,500000.0,"3 DE Febrero AL 1800, Centro, Rosario, Santa Fe",3,1,56.0,https://departamento.mercadolibre.com.ar/MLA-1940886330-3-de-febrero-al-1800-alquiler-departamento-2-dormitorios-en-rosario-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
Alquiler - 1 Dormitorio- Barrio Martín -externo Balcón,300000.0,"3 De Febrero Al 506, Martin, Rosario, Santa Fe",2,1,40.0,https://departamento.mercadolibre.com.ar/MLA-1943833426-alquiler-1-dormitorio-barrio-martin-externo-balcon-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
"Departamento 2 Dormitorios, Cochera, Cocina Separada, Balcon, Abasto",420000.0,"España Al 1900, Abasto, Rosario, Santa Fe",3,2,74.0,https://departamento.mercadolibre.com.ar/MLA-1943064338-departamento-2-dormitorios-cochera-cocina-separada-balcon-abasto-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=754f0139-c965-470f-83c7-c4e057c3aa04
